Date,Domestic Amort,
01/04/2008,4968.80,
01/05/2008,5131.30,
01/06/2008,3373.00,
01/07/2008,6696.90,
01/08/2008,7886.30,
01/09/2008,12667.10,
01/10/2008,21548.50,
01/11/2008,7666.60,
01/12/2008,2046.50,
01/01/2009,4991.60,
01/02/2009,20111.40,
01/03/2009,1854.70,
01/04/2009,10709.50,
01/05/2009,1651.80,
01/06/2009,10156.20,
01/07/2009,20895.90,
01/08/2009,5128.00,
01/09/2009,7228.70,
01/10/2009,11544.40,
01/11/2009,4683.80,
01/12/2009,11056.00,
01/01/2010,21448.50,
01/02/2010,1217.70,
01/03/2010,42006.70,
01/04/2010,15538.50,
01/05/2010,16576.10,
01/06/2010,2208.60,
01/07/2010,761.80,
01/08/2010,20521.80,
01/09/2010,948.30,
01/10/2010,255.10,
01/11/2010,471.10,
01/12/2010,683.10,
01/01/2011,133.50,
01/02/2011,16432.70,
01/03/2011,4862.50,
01/04/2011,1430.80,
01/05/2011,1176.80,
01/06/2011,3440.20,
01/07/2011,2670.30,
01/08/2011,10655.10,
01/09/2011,2182.70,
01/10/2011,1346.80,
01/11/2011,2042.70,
01/12/2011,2469.10,
01/01/2012,1597.40,
01/02/2012,36601.40,
01/03/2012,2206.90,
01/04/2012,1347.90,
01/05/2012,1180.30,
01/06/2012,1722.30,
01/07/2012,1611.80,
01/08/2012,13414.90,
01/09/2012,2080.20,
01/10/2012,1348.20,
01/11/2012,1295.40,
01/12/2012,1893.70,
01/01/2013,5629.20,
01/02/2013,3487.30,
01/03/2013,2083.60,
01/04/2013,1346.30,
01/05/2013,1108.50,
01/06/2013,1526.00,
01/07/2013,1669.40,
01/08/2013,1474.80,
01/09/2013,1966.80,
01/10/2013,1347.10,
01/11/2013,1179.40,
01/12/2013,1573.90,
01/01/2014,23077.50,
01/02/2014,38170.30,
01/03/2014,2164.30,
01/04/2014,1344.20,
01/05/2014,1700.50,
01/06/2014,5042.50,
01/07/2014,1726.60,
01/08/2014,4159.80,
01/09/2014,2186.60,
01/10/2014,1173.90,
01/11/2014,1173.50,
01/12/2014,2113.30,
01/01/2015,1733.50,
01/02/2015,5189.60,
01/03/2015,2207.30,
01/04/2015,1162.40,
01/05/2015,1892.90,
01/06/2015,2135.40,
01/07/2015,1743.80,
01/08/2015,1178.50,
01/09/2015,1253.80,
01/10/2015,1179.90,
01/11/2015,1108.00,
01/12/2015,1672.10,
01/01/2016,1128.30,
01/02/2016,62089.80,
01/03/2016,1333.80,
01/04/2016,1181.10,
01/05/2016,1180.70,
01/06/2016,1529.90,
01/07/2016,1132.50,
01/08/2016,6123.90,
01/09/2016,10870.30,
01/10/2016,1182.00,
01/11/2016,1148.20,
01/12/2016,1510.80,
01/01/2017,1181.20,
01/02/2017,1346.20,
01/03/2017,1323.10,
01/04/2017,1182.10,
01/05/2017,65652.90,
01/06/2017,1124.20,
01/07/2017,980.20,
01/08/2017,1284.50,
01/09/2017,70272.20,
01/10/2017,1173.10,
01/11/2017,6590.60,
01/12/2017,1508.90,
01/01/2018,1746.90,
01/02/2018,15755.90,
01/03/2018,1356.10,
01/04/2018,1180.00,
01/05/2018,1753.70,
01/06/2018,1531.50,
01/07/2018,59722.00,
01/08/2018,1862.00,
01/09/2018,3176.60,
01/10/2018,1967.20,
01/11/2018,1979.90,
01/12/2018,1729.70,
01/01/2019,1389.80,
01/02/2019,2197.40,
01/03/2019,1518.40,
01/04/2019,1389.40,
01/05/2019,2087.90,
01/06/2019,1737.10,
01/07/2019,42601.60,
01/08/2019,2077.80,
01/09/2019,9855.00,
01/10/2019,2178.20,
01/11/2019,1978.30,
01/12/2019,1390.60,
01/01/2020,1391.00,
01/02/2020,2180.40,
01/03/2020,1613.30,
01/04/2020,2180.10,
01/05/2020,2180.40,
01/06/2020,1391.30,
01/07/2020,3123.60,
01/08/2020,2181.90,
01/09/2020,1441.80,
01/10/2020,90891.60,
01/11/2020,2182.90,
01/12/2020,1393.30,
01/01/2021,2183.80,
01/02/2021,2183.50,
01/03/2021,1444.20,
01/04/2021,2195.50,
01/05/2021,28679.30,
01/06/2021,1394.90,
01/07/2021,1393.80,
01/08/2021,2185.40,
01/09/2021,1392.90,
01/10/2021,2185.30,
01/11/2021,2179.60,
01/12/2021,9260.50,
01/01/2022,2217.00,
01/02/2022,17896.60,
01/03/2022,1387.20,
01/04/2022,5394.10,
01/05/2022,2172.60,
01/06/2022,1374.70,
