Date,Domestic Amort
01/04/2008,4968.8
01/05/2008,5131.3
01/06/2008,3373.0
01/07/2008,6696.9
01/08/2008,7886.3
01/09/2008,12667.1
01/10/2008,21548.5
01/11/2008,7666.6
01/12/2008,2046.5
01/01/2009,4991.6
01/02/2009,20111.4
01/03/2009,1854.7
01/04/2009,10709.5
01/05/2009,1651.8
01/06/2009,10156.2
01/07/2009,20895.9
01/08/2009,5128.0
01/09/2009,7228.7
01/10/2009,11544.4
01/11/2009,4683.8
01/12/2009,11056.0
01/01/2010,21448.5
01/02/2010,1217.7
01/03/2010,42006.7
01/04/2010,15538.5
01/05/2010,16576.1
01/06/2010,2208.6
01/07/2010,761.8
01/08/2010,20521.8
01/09/2010,948.3
01/10/2010,255.1
01/11/2010,471.1
01/12/2010,683.1
01/01/2011,133.5
01/02/2011,16432.7
01/03/2011,4862.5
01/04/2011,1430.8
01/05/2011,1176.8
01/06/2011,3440.2
01/07/2011,2670.3
01/08/2011,10655.1
01/09/2011,2182.7
01/10/2011,1346.8
01/11/2011,2042.7
01/12/2011,2469.1
01/01/2012,1597.4
01/02/2012,36601.4
01/03/2012,2206.9
01/04/2012,1347.9
01/05/2012,1180.3
01/06/2012,1722.3
01/07/2012,1611.8
01/08/2012,13414.9
01/09/2012,2080.2
01/10/2012,1348.2
01/11/2012,1295.4
01/12/2012,1893.7
01/01/2013,5629.2
01/02/2013,3487.3
01/03/2013,2083.6
01/04/2013,1346.3
01/05/2013,1108.5
01/06/2013,1526.0
01/07/2013,1669.4
01/08/2013,1474.8
01/09/2013,1966.8
01/10/2013,1347.1
01/11/2013,1179.4
01/12/2013,1573.9
01/01/2014,23077.5
01/02/2014,38170.3
01/03/2014,2164.3
01/04/2014,1344.2
01/05/2014,1700.5
01/06/2014,5042.5
01/07/2014,1726.6
01/08/2014,4159.8
01/09/2014,2186.6
01/10/2014,1173.9
01/11/2014,1173.5
01/12/2014,2113.3
01/01/2015,1733.5
01/02/2015,5189.6
01/03/2015,2207.3
01/04/2015,1162.4
01/05/2015,1892.9
01/06/2015,2135.4
01/07/2015,1743.8
01/08/2015,1178.5
01/09/2015,1253.8
01/10/2015,1179.9
01/11/2015,1108.0
01/12/2015,1672.1
01/01/2016,1128.3
01/02/2016,62089.8
01/03/2016,1333.8
01/04/2016,1181.1
01/05/2016,1180.7
01/06/2016,1529.9
01/07/2016,1132.5
01/08/2016,6123.9
01/09/2016,10870.3
01/10/2016,1182.0
01/11/2016,1148.2
01/12/2016,1510.8
01/01/2017,1181.2
01/02/2017,1346.2
01/03/2017,1323.1
01/04/2017,1182.1
01/05/2017,65652.9
01/06/2017,1124.2
01/07/2017,980.2
01/08/2017,1284.5
01/09/2017,70272.2
01/10/2017,1173.1
01/11/2017,6590.6
01/12/2017,1508.9
01/01/2018,1746.9
01/02/2018,15755.9
01/03/2018,1356.1
01/04/2018,1180.0
01/05/2018,1753.7
01/06/2018,1531.5
01/07/2018,59722.0
01/08/2018,1862.0
01/09/2018,3176.6
01/10/2018,1967.2
01/11/2018,1979.9
01/12/2018,1729.7
01/01/2019,1389.8
01/02/2019,2197.4
01/03/2019,1518.4
01/04/2019,1389.4
01/05/2019,2087.9
01/06/2019,1737.1
01/07/2019,42601.6
01/08/2019,2077.8
01/09/2019,9855.0
01/10/2019,2178.2
01/11/2019,1978.3
01/12/2019,1390.6
01/01/2020,1391.0
01/02/2020,2180.4
01/03/2020,1613.3
01/04/2020,2180.1
01/05/2020,2180.4
01/06/2020,1391.3
01/07/2020,3123.6
01/08/2020,2181.9
01/09/2020,1441.8
01/10/2020,90891.6
01/11/2020,2182.9
01/12/2020,1393.3
01/01/2021,2183.8
01/02/2021,2183.5
01/03/2021,1444.2
01/04/2021,2195.5
01/05/2021,28679.3
01/06/2021,1394.9
01/07/2021,1393.8
01/08/2021,2185.4
01/09/2021,1392.9
01/10/2021,2185.3
01/11/2021,2179.6
01/12/2021,9260.5
01/01/2022,2217.0
01/02/2022,17896.6
01/03/2022,1387.2
01/04/2022,5394.1
01/05/2022,2172.6
01/06/2022,1374.7
